company_id,statement_date,net_income,depreciation_and_amortization,stock_based_compensation,foreign_currency_transaction_gain_or_loss,other_noncash_income_or_expense,changes_in_other_current_assets,changes_in_accounts_payable,changes_in_inventories,changes_in_deferred_revenue,net_cash_provided_by_operating_activities,purchases_of_marketable_securities,proceeds_from_maturities_of_marketable_securities,proceeds_from_sale_of_marketable_securities,purchases_of_property_and_plant_and_equipment,payments_to_acquire_investments,payments_to_acquire_businesses,deferred_revenue,other_investing_activities,net_cash_provided_by_investing_activities,payments_of_tax_for_share_based_compensation,dividends_paid,repurchases_of_common_stock,proceeds_from_issuance_of_common_stock,repayments_of_long_term_debt,net_cash_provided_by_financing_activities,changes_in_cash_and_cash_equivalents_and_restricted_cash,cash_and_cash_equivalents_and_restricted_cash
1,2023-10-31,1240000000.0,271000000.0,111000000.0,,-6000000.0,,-171000000.0,33000000.0,488000000.0,1772000000.0,,,,298000000.0,,51000000.0,488000000.0,,-310000000.0,54000000.0,,575000000.0,,0.0,-930000000.0,537000000.0,1593000000.0
2,2023-12-31,-651000000.0,632000000.0,35000000.0,64000000.0,-78000000.0,,,-243000000.0,,91000000.0,,,,531000000.0,70000000.0,,,-12000000.0,-585000000.0,34000000.0,,,,72000000.0,57000000.0,-427000000.0,1047000000.0
3,2023-09-30,-320150.0,,218254.0,,,,1570515.0,,,-1860042.0,,,,,1641801.0,,,,128605157.0,,,,,,-126862409.0,-117294.0,60284.0
4,2023-12-31,16915460.0,,,,,,,,,-1352509.0,,,,,,,,,-505000000.0,,,,,,508257632.0,1905123.0,1905123.0
5,2023-12-31,-65765000.0,169000.0,11954000.0,-1000.0,,,,3265000.0,,-59663000.0,64439000.0,,,3972000.0,,,,,83206000.0,,,,,,326000.0,23869000.0,
6,2023-12-31,-43061757.0,,34252082.0,-66478.0,,,2990144.0,-284987.0,,-3969966.0,,,,13576.0,,2887743.0,,,-13576.0,,,,,,6780349.0,2777851.0,2787909.0
7,2023-12-31,822000000.0,2300000000.0,102000000.0,,205000000.0,11000000.0,,,,3803000000.0,,,,,,,,-275000000.0,-502000000.0,23000000.0,,,,,-3206000000.0,95000000.0,681000000.0
8,2023-12-31,-171000.0,,,,,,,,,2622000.0,,,,80000.0,18073000.0,,,,-3365000.0,12000.0,,,,,181000.0,,28301000.0
9,2023-12-31,2823000.0,,11949000.0,,,,,,-6628000.0,180414000.0,,,,94415000.0,,,-6628000.0,,-76876000.0,2536000.0,,6499000.0,,,-72249000.0,31319000.0,60660000.0
10,2023-12-31,-56048000.0,,11884000.0,711000.0,,-1008000.0,-14953000.0,-6790000.0,-1197000.0,-7929000.0,,,,9079000.0,,,-1197000.0,,-14761000.0,956000.0,,,68984000.0,,40578000.0,19510000.0,55097000.0
11,2023-12-31,177623000.0,46468000.0,16384000.0,,,,-18316000.0,16226000.0,-7667000.0,158895000.0,,,,,,0.0,-7667000.0,,-109311000.0,1302000.0,26445000.0,,,,-46510000.0,,9023000.0
12,2023-12-30,29735000.0,306454000.0,45647000.0,,-3267000.0,,-4645000.0,-44821000.0,,287375000.0,,,,242411000.0,,,,,-235489000.0,,209293000.0,14518000.0,,,189267000.0,232666000.0,503471000.0
13,2023-09-30,96995000000.0,11519000000.0,10833000000.0,,2227000000.0,,-1889000000.0,1618000000.0,,110543000000.0,29513000000.0,39686000000.0,5828000000.0,10959000000.0,,,,1337000000.0,3705000000.0,5431000000.0,15025000000.0,77550000000.0,,11151000000.0,-108488000000.0,5760000000.0,30737000000.0
14,2023-12-31,10481000.0,119500000.0,8838000.0,,-266000.0,,,,,188751000.0,,,,,,,,,-89887000.0,831000.0,101571000.0,,,,-65547000.0,33317000.0,82888000.0
15,2023-12-31,264184000.0,,,,,,,,,293975000.0,,,,,,,,,0.0,,,,,,-293975000.0,0.0,0.0
16,2023-06-30,-21338207.0,,9249462.0,,,,,125204.0,,-13367980.0,,,,6761851.0,,,,,-36716761.0,,,,13857351.0,,23415724.0,-26669017.0,
17,2023-12-31,4863000000.0,,747000000.0,-146000000.0,225000000.0,,,417000000.0,,22839000000.0,,,,777000000.0,,0.0,,-13000000.0,-2009000000.0,,10539000000.0,1972000000.0,,,-17222000000.0,3613000000.0,12814000000.0
18,2023-12-31,269105000.0,,9950000.0,,,,,,,568959000.0,30548000.0,142082000.0,5141000.0,17531000.0,,0.0,,,-338194000.0,,,,,,-181593000.0,49172000.0,1167304000.0
