company_id,company_name,ticker,CIK,sector_id,industry_id,country_id,exchange,market_cap,IPO_year
1,"AGILENT TECHNOLOGIES, INC.",A,1090872,5,40,1,NYSE,40365434818.0,1999
2,Alcoa Corp,AA,1675149,5,137,1,NYSE,6622135551.0,2016
3,Armada Acquisition Corp. I,AACI,1844817,2,6,1,NASDAQ,0.0,2021
4,Ares Acquisition Corp II,AACT,1853138,2,6,,NYSE,0.0,2023
5,"Aadi Bioscience, Inc.",AADI,1422142,1,1,1,NASDAQ,42969859.0,
6,African Agriculture Holdings Inc.,AAGR,1848898,9,66,1,NASDAQ,19096054.0,2021
7,American Airlines Group Inc.,AAL,6201,3,63,1,NASDAQ,9088024606.0,
8,ATLANTIC AMERICAN CORP,AAME,8177,2,58,1,NASDAQ,39986444.0,
9,"Aaron's Company, Inc.",AAN,1821393,3,36,1,NYSE,214655338.0,2020
10,"APPLIED OPTOELECTRONICS, INC.",AAOI,1158114,4,12,1,NASDAQ,416619222.0,2013
11,"AAON, INC.",AAON,824142,5,4,1,NASDAQ,7436170041.0,
12,ADVANCE AUTO PARTS INC,AAP,1158449,3,118,1,NYSE,4474665296.0,
13,Apple Inc.,AAPL,320193,4,99,1,NASDAQ,2614310453300.0,1980
14,"American Assets Trust, Inc.",AAT,1500217,6,3,1,NYSE,1292817537.0,2011
15,ALLIANCEBERNSTEIN HOLDING L.P.,AB,825313,2,19,1,NYSE,3837119214.0,
16,AMERICAN BATTERY TECHNOLOGY Co,ABAT,1576873,12,109,1,NASDAQ,69525808.0,
17,AbbVie Inc.,ABBV,1551152,1,1,1,NYSE,281964477564.0,2012
18,Ameris Bancorp,ABCB,351569,2,2,1,NASDAQ,3305164396.0,1994
19,AbCellera Biologics Inc.,ABCL,1703057,1,113,2,NASDAQ,1087978060.0,2020
20,ABEONA THERAPEUTICS INC.,ABEO,318306,1,1,1,NASDAQ,89177421.0,
21,ASBURY AUTOMOTIVE GROUP INC,ABG,1144980,3,83,1,NYSE,4529102738.0,2002
22,"ARCA biopharma, Inc.",ABIO,907654,1,53,1,NASDAQ,51914092.0,
23,"Abacus Life, Inc.",ABL,1814287,2,19,1,NASDAQ,759878463.0,2020
24,ABM INDUSTRIES INC /DE/,ABM,771497,2,36,1,NYSE,2787356955.0,
25,"Airbnb, Inc.",ABNB,1559720,2,36,1,NASDAQ,106267430590.0,2020
26,"Acumen Pharmaceuticals, Inc.",ABOS,1576885,1,7,1,NASDAQ,190452896.0,2021
27,ARBOR REALTY TRUST INC,ABR,1253986,6,3,1,NYSE,2416637484.0,2004
28,Absci Corp,ABSI,1672688,1,80,1,NASDAQ,516553358.0,2021
29,ABBOTT LABORATORIES,ABT,1800,1,1,1,NYSE,186584366596.0,
30,Arbutus Biopharma Corp,ABUS,1447028,1,1,2,NASDAQ,490013703.0,
31,"ABVC BIOPHARMA, INC.",ABVC,1173313,1,1,1,NASDAQ,14995798.0,
32,"Associated Capital Group, Inc.",AC,1642122,2,30,1,NYSE,694874380.0,2015
33,"Arcosa, Inc.",ACA,1739445,5,18,1,NYSE,3755806658.0,2018
34,Atlantic Coastal Acquisition Corp. II,ACAB,1893219,2,6,1,NASDAQ,0.0,2022
35,Acri Capital Acquisition Corp,ACAC,1914023,2,6,1,NASDAQ,0.0,2022
36,ACADIA PHARMACEUTICALS INC,ACAD,1070494,1,1,1,NASDAQ,2753332116.0,1985
37,Ace Global Business Acquisition Ltd,ACBA,1844389,3,11,13,NASDAQ,45815623.0,2021
38,"Accolade, Inc.",ACCD,1481646,3,11,1,NASDAQ,610746019.0,2020
39,ACCO BRANDS Corp,ACCO,712034,3,121,1,NYSE,458503786.0,
40,ProFrac Holding Corp.,ACDC,1881487,7,54,1,NASDAQ,1313460200.0,2022
41,"Accel Entertainment, Inc.",ACEL,1698991,3,45,1,NYSE,937761098.0,2017
42,"Adicet Bio, Inc.",ACET,1720580,1,1,1,NASDAQ,138018693.0,2018
43,ARCH CAPITAL GROUP LTD.,ACGL,947484,2,15,6,NASDAQ,34010345444.0,
44,"Acadia Healthcare Company, Inc.",ACHC,1520697,1,23,1,NASDAQ,6791552514.0,
45,Archer Aviation Inc.,ACHR,1824502,5,69,1,NYSE,1248510640.0,2020
46,"ACHIEVE LIFE SCIENCES, INC.",ACHV,949858,1,53,1,NASDAQ,157901310.0,
47,"Albertsons Companies, Inc.",ACI,1646972,9,90,1,NYSE,11623216256.0,2020
48,AMERICAN COASTAL INSURANCE Corp,ACIC,1401521,2,15,1,NASDAQ,513844249.0,
49,"ACI WORLDWIDE, INC.",ACIW,935036,4,8,1,NASDAQ,3543543443.0,
50,AXCELIS TECHNOLOGIES INC,ACLS,1113232,4,4,1,NASDAQ,3362410826.0,2000
51,"Arcellx, Inc.",ACLX,1786205,1,7,1,NASDAQ,2741200407.0,2022
52,AECOM,ACM,868857,3,44,1,NYSE,12793010269.0,2007
53,"ACM Research, Inc.",ACMR,1680062,4,4,1,NASDAQ,1652009233.0,2017
54,Accenture plc,ACN,1467373,3,11,9,NYSE,193751749421.0,2001
55,ACNB CORP,ACNB,715579,2,2,1,NASDAQ,290541424.0,
56,ASCENT INDUSTRIES CO.,ACNT,95953,5,55,1,NASDAQ,105196475.0,
57,"Aclarion, Inc.",ACON,1635077,1,23,1,NASDAQ,185203.0,2022
58,ACRES Commercial Realty Corp.,ACR,1332551,6,3,1,NYSE,106462920.0,
59,Ares Commercial Real Estate Corp,ACRE,1529377,6,3,1,NYSE,372794899.0,2012
60,"Aclaris Therapeutics, Inc.",ACRS,1557746,1,1,1,NASDAQ,85110050.0,2015
61,"Acrivon Therapeutics, Inc.",ACRV,1781174,1,1,1,NASDAQ,261176705.0,2022
62,Acasti Pharma Inc.,ACST,1444192,1,1,2,NASDAQ,27258272.0,
63,"Enact Holdings, Inc.",ACT,1823529,2,43,1,NASDAQ,4765307332.0,2021
64,ACACIA RESEARCH CORP,ACTG,934549,11,96,1,NASDAQ,486490954.0,
65,ACV Auctions Inc.,ACVA,1637873,3,11,1,NASDAQ,2964798194.0,2021
66,"Acurx Pharmaceuticals, Inc.",ACXP,1736243,1,1,1,NASDAQ,32617201.0,2021
67,Adaptimmune Therapeutics PLC,ADAP,1621227,1,1,4,NASDAQ,265336957.0,2015
68,ADOBE INC.,ADBE,796343,4,5,1,NASDAQ,213946880000.0,1986
69,AGREE REALTY CORP,ADC,917251,6,3,1,NYSE,5813161016.0,
70,ADC Therapeutics SA,ADCT,1771910,1,1,,NYSE,358178243.0,2020
71,Adeia Inc.,ADEA,1803696,4,12,1,NASDAQ,1088751301.0,2003
72,ANALOG DEVICES INC,ADI,6281,4,12,1,NASDAQ,100158569056.0,
73,"ADIAL PHARMACEUTICALS, INC.",ADIL,1513525,1,1,1,NASDAQ,6528326.0,2018
74,Archer-Daniels-Midland Co,ADM,7084,9,27,1,NYSE,30641934095.0,
75,"ADMA BIOLOGICS, INC.",ADMA,1368514,1,7,1,NASDAQ,1494842546.0,
76,"ADVENT TECHNOLOGIES HOLDINGS, INC.",ADN,1744494,11,4,1,NASDAQ,9479735.0,2018
77,Adient plc,ADNT,1670541,3,26,1,NYSE,2775699031.0,2016
78,AUTOMATIC DATA PROCESSING INC,ADP,8670,4,8,1,NASDAQ,99850863121.0,
79,Adaptive Biotechnologies Corp,ADPT,1478320,1,7,1,NASDAQ,377239905.0,2019
80,"Autodesk, Inc.",ADSK,769397,4,5,1,NASDAQ,46618566777.0,
81,ADT Inc.,ADT,1703056,3,36,1,NYSE,5930483875.0,2018
82,"AdTheorent Holding Company, Inc.",ADTH,1838672,4,25,1,NASDAQ,295439001.0,2021
83,"ADTRAN Holdings, Inc.",ADTN,926282,10,16,1,NASDAQ,350482959.0,1994
84,"Aditxt, Inc.",ADTX,1726711,1,1,1,NASDAQ,3979861.0,2020
85,Addus HomeCare Corp,ADUS,1468328,1,39,1,NASDAQ,1534124310.0,2009
86,Advantage Solutions Inc.,ADV,1776661,3,11,1,NASDAQ,1445125423.0,2019
87,"Adverum Biotechnologies, Inc.",ADVM,1501756,1,7,1,NASDAQ,190737669.0,2014
88,AltEnergy Acquisition Corp,AEAE,1852016,2,6,1,NASDAQ,0.0,2021
89,AMEREN CORP,AEE,1002910,8,49,1,NYSE,19614837943.0,
90,AEHR TEST SYSTEMS,AEHR,1040470,5,32,1,NASDAQ,331651942.0,1997
91,Alset Inc.,AEI,1750106,2,21,1,NASDAQ,5447797.0,2020
92,ADVANCED ENERGY INDUSTRIES INC,AEIS,927003,4,4,1,NASDAQ,3581687808.0,1995
93,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,AEL,1039828,2,58,1,NYSE,4471014450.0,2003
94,AETHLON MEDICAL INC,AEMD,882291,1,9,1,NASDAQ,3563743.0,
95,ALLIANCE ENTERTAINMENT HOLDING CORP,AENT,1823584,3,133,1,NASDAQ,104408079.0,
96,AMERICAN EAGLE OUTFITTERS INC,AEO,919012,3,38,1,NYSE,4808647620.0,
97,AMERICAN ELECTRIC POWER CO INC,AEP,4904,8,31,1,NASDAQ,44862497717.0,
98,"Aeries Technology, Inc.",AERT,1853044,3,28,1,NASDAQ,33424671.0,2021
99,AES CORP,AES,874761,8,31,1,NYSE,12224040698.0,
