company_id,statement_date,total_net_sales,cost_of_revenue,gross_profit,marketing_expense,research_and_development_expenses,general_and_administrative_expenses,total_operating_expenses,operating_income,interest_expense,non-operating_income,income_before_taxes,income_tax_expense,net_income,basic,diluted,basic.1,diluted.1,revenue,selling_general_and_administrative_expenses,cost_goods_and_services_sold
1,2023-10-31,6833000000.0,,,,481000000.0,,,1350000000.0,95000000.0,,1339000000.0,99000000.0,1240000000.0,4.22,4.19,294000000.0,296000000.0,,1634000000.0,3368000000.0
2,2023-12-31,10551000000.0,,,,39000000.0,,,,107000000.0,-134000000.0,-584000000.0,189000000.0,-651000000.0,-3.65,-3.65,178000000.0,178000000.0,,226000000.0,
3,2023-09-30,,,,,,,2570872.0,-2789126.0,,,295134.0,615284.0,-320150.0,,,,,,,
4,2023-12-31,,,,,,1122892.0,,-1122892.0,,,,,16915460.0,,,,,,,
5,2023-12-31,24354000.0,,,,48929000.0,,,-71933000.0,231000.0,,-65765000.0,0.0,-65765000.0,-2.44,-2.44,26917967.0,26917967.0,,44549000.0,2809000.0
6,2023-12-31,,,458585.0,,,,41420891.0,-40962306.0,,-2099451.0,-43061757.0,,-43061757.0,-1.21,,35720626.0,35720626.0,,,1358790.0
7,2023-12-31,52788000000.0,,,,,,,3034000000.0,2145000000.0,-1913000000.0,1121000000.0,299000000.0,822000000.0,1.26,1.21,653612000.0,719669000.0,,,
8,2023-12-31,,,,,,,,1542000.0,3269000.0,,-565000.0,-394000.0,-171000.0,-0.03,-0.03,20404000.0,20404000.0,186793000.0,,
9,2023-12-31,,1020571000.0,1119319000.0,,,,,12550000.0,15512000.0,,-1058000.0,-3881000.0,2823000.0,0.09,0.09,30778000.0,31105000.0,2139890000.0,,
10,2023-12-31,217646000.0,,58921000.0,,35975000.0,53226000.0,100270000.0,-41349000.0,9428000.0,-14690000.0,-56039000.0,9000.0,-56048000.0,-1.75,-1.75,31944259.0,31944259.0,,,158725000.0
11,2023-12-31,,,399020000.0,,43700000.0,,,227494000.0,,,223154000.0,45531000.0,177623000.0,2.19,2.13,81156114.0,83295290.0,,171539000.0,769498000.0
12,2023-12-30,11287607000.0,,4523502000.0,,,,,114377000.0,,-82530000.0,31847000.0,2112000.0,29735000.0,0.5,0.5,59432000.0,59608000.0,,4409125000.0,6764105000.0
13,2023-09-30,383285000000.0,,169148000000.0,,29915000000.0,,54847000000.0,114301000000.0,3933000000.0,-565000000.0,113736000000.0,16741000000.0,96995000000.0,6.16,6.13,15744231000.0,15812547000.0,,24932000000.0,214137000000.0
14,2023-12-31,,,277207000.0,3485000.0,,35960000.0,,121747000.0,,,,1041000.0,10481000.0,0.84,0.84,60158976.0,76340513.0,441164000.0,,
15,2023-12-31,,,,,,,,,,,,35597000.0,264184000.0,,,,,,,
16,2023-06-30,,,,,7703895.0,11960831.0,21575274.0,-21575274.0,,237067.0,,,-21338207.0,-0.49,-0.49,43754913.0,43754913.0,,,
17,2023-12-31,,,8597000000.0,,,,,12757000000.0,2224000000.0,,6250000000.0,1377000000.0,4863000000.0,2.73,2.72,1768000000.0,1773000000.0,54318000000.0,12872000000.0,20415000000.0
18,2023-12-31,,,,,,,,,445391000.0,,356935000.0,87830000.0,269105000.0,3.9,3.89,68977453.0,69104158.0,,,
19,2023-12-31,38025000.0,,,,175658000.0,60999000.0,275232000.0,-237207000.0,,63178000.0,-174029000.0,-27631000.0,-146398000.0,-0.51,-0.51,289166486.0,289166486.0,,,
20,2023-12-31,3500000.0,,,,31091000.0,19004000.0,50635000.0,-47135000.0,418000.0,2943000.0,,,-54188000.0,-2.53,-2.53,21380476.0,21380476.0,,,
21,2023-12-31,,12046900000.0,2755800000.0,,,,,953500000.0,165700000.0,-152200000.0,801300000.0,198800000.0,602500000.0,28.87,28.74,20900000.0,21000000.0,14802700000.0,1617400000.0,
22,2023-12-31,,,,,1013000.0,6283000.0,7296000.0,-7296000.0,,,,0.0,-5339000.0,-0.37,-0.37,14415877.0,14415877.0,0.0,,
23,2023-12-31,,6490377.0,59911074.0,,,26482571.0,35785192.0,24125882.0,9866821.0,-13622860.0,,1468535.0,9516626.0,0.17,0.16,56951414.0,57767898.0,66401451.0,,
24,2023-10-31,8096400000.0,,,,,,,409500000.0,82300000.0,,331100000.0,79700000.0,251300000.0,3.81,3.79,66000000.0,66300000.0,,572800000.0,7037600000.0
25,2023-12-31,9917000000.0,1703000000.0,,,1722000000.0,2025000000.0,,1518000000.0,,,2102000000.0,-2690000000.0,4792000000.0,,,637000000.0,662000000.0,,,
26,2023-12-31,,,,,42318000.0,18820000.0,61138000.0,-61138000.0,581000.0,8767000.0,,0.0,-52371000.0,-1.08,-1.08,48609383.0,48609383.0,,,
27,2023-12-31,,,,,,,315829000.0,427903000.0,903228000.0,,,27347000.0,,1.79,1.75,184641642.0,218843613.0,,51260000.0,
28,2023-12-31,,,,,48067000.0,,121233000.0,-115515000.0,1010000.0,5049000.0,-110466000.0,100000.0,-110566000.0,-1.2,-1.2,92028016.0,92028016.0,5718000.0,37832000.0,
29,2023-12-31,40109000000.0,,,,2741000000.0,,,6478000000.0,637000000.0,,6664000000.0,941000000.0,5723000000.0,3.28,3.26,1740000000.0,1749000000.0,,10949000000.0,17975000000.0
30,2023-12-31,,,,,73700000.0,22475000.0,96244000.0,-78103000.0,459000.0,5254000.0,,0.0,-72849000.0,-0.44,-0.44,165960379.0,165960379.0,18141000.0,,
31,2023-12-31,,302037.0,-149607.0,,1062916.0,,8066902.0,-8216509.0,2493340.0,-2437773.0,-10654282.0,256006.0,-10515656.0,-2.43,-2.43,4335650.0,4335650.0,152430.0,5368278.0,
32,2023-12-31,12683000.0,,,,,,29630000.0,-16947000.0,462000.0,63812000.0,46865000.0,9137000.0,37451000.0,1.72,1.72,21771.0,21771.0,,,
33,2023-12-31,,1864100000.0,,,,,,217300000.0,28100000.0,-21400000.0,195900000.0,36700000.0,159200000.0,3.27,3.26,48500000.0,48700000.0,2307900000.0,261100000.0,
34,2023-12-31,,,,,,,,-1666056.0,,5664978.0,3998922.0,1177463.0,2821459.0,,,,,,,
35,2023-12-31,,,,,,,,-801157.0,,,,431419.0,886366.0,,,,,,,
36,2023-12-31,,,213151000.0,,351619000.0,,,-73379000.0,,,-51036000.0,10250000.0,-61286000.0,-0.37,-0.37,163819.0,163819.0,231041000.0,406559000.0,41638000.0
37,2023-12-31,,,,,,,,-1462823.0,,1235608.0,-227215.0,,-227215.0,,,,,,,
38,2024-02-29,414292000.0,,,,,62124000.0,306513000.0,-114453000.0,,,-98570000.0,1235000.0,-99805000.0,-1.33,-1.33,74906938.0,74906938.0,,,
39,2023-12-31,,,598300000.0,,25800000.0,,553600000.0,44700000.0,58600000.0,,-13100000.0,8700000.0,-21800000.0,-0.23,-0.23,95300000.0,95300000.0,1832800000.0,393500000.0,1234500000.0
40,2023-12-31,2630000000.0,,,,,,,166600000.0,154900000.0,,-58000000.0,1200000.0,-97700000.0,-0.82,-0.82,130900000.0,130900000.0,,268500000.0,
41,2023-12-31,,,,,,180248000.0,,107407000.0,,,65724000.0,20121000.0,45603000.0,0.53,0.53,85949000.0,86803000.0,,,
42,2023-12-31,,,,,106043000.0,26533000.0,152038000.0,-152038000.0,25000.0,,-142658000.0,0.0,-142658000.0,-3.31,-3.31,43042405.0,43042405.0,,,
43,2023-12-31,,,,,,102000000.0,,,133000000.0,,3570000000.0,-873000000.0,4443000000.0,11.94,11.62,368700000.0,378800000.0,13634000000.0,,
44,2023-12-31,2928738000.0,,,,,153300000.0,,,,,-25360000.0,-9699000.0,-21667000.0,-0.24,-0.24,90949000.0,90949000.0,,,
45,2023-12-31,,,,,276400000.0,168400000.0,446900000.0,-446900000.0,,,-457400000.0,500000.0,-457900000.0,-1.69,-1.69,270408132.0,270408132.0,,,
46,2023-12-31,,,,,15814000.0,11436000.0,,,2853000.0,-2565000.0,-29815000.0,,-29815000.0,-1.5,-1.5,19827354.0,19827354.0,,,
47,2024-02-24,79237700000.0,57192000000.0,22045700000.0,,,,,2068900000.0,,,,293000000.0,1296000000.0,2.25,2.23,575400000.0,581100000.0,,19932900000.0,
48,2023-12-31,,,,,,29489000.0,,89732000.0,10875000.0,,91971000.0,9773000.0,309911000.0,7.11,6.98,43596432.0,44388804.0,286543000.0,,
49,2023-12-31,1452579000.0,719211000.0,,,,117190000.0,,220408000.0,78486000.0,-72781000.0,147627000.0,26118000.0,121509000.0,1.12,1.12,108497000.0,108857000.0,,,
50,2023-12-31,,,491301000.0,,96907000.0,65794000.0,225506000.0,265795000.0,5347000.0,12804000.0,278599000.0,32336000.0,,7.52,7.43,32758000.0,33165000.0,1130604000.0,,639303000.0
51,2023-12-31,110319000.0,,,,133849000.0,66350000.0,200199000.0,-89880000.0,,,-70027000.0,663000.0,-70690000.0,-1.47,-1.47,48061450.0,48061450.0,,,
52,2023-09-30,14378461000.0,13432996000.0,945465000.0,,,153575000.0,,324134000.0,,,213400000.0,56052000.0,55332000.0,0.4,0.39,138614000.0,140109000.0,,,
53,2023-12-31,557723000.0,281508000.0,276215000.0,,92709000.0,40648000.0,180376000.0,95839000.0,2681000.0,,116216000.0,19364000.0,77349000.0,1.29,1.16,60164670.0,64870543.0,,,
54,2023-08-31,,,,,1298657000.0,4275943000.0,,8809889000.0,47525000.0,,9139332000.0,2135802000.0,6871557000.0,10.9,10.77,630608186.0,638591616.0,64111745000.0,,43380138000.0
55,2023-12-31,,,,,,,,,8320000.0,,39849000.0,,31688000.0,3.72,3.71,8507803.0,8536125.0,,,
56,2023-12-31,193179000.0,,1526000.0,,,,,-37430000.0,4238000.0,,-41075000.0,-6924000.0,-26629000.0,-2.63,-2.63,10140000.0,10140000.0,,26712000.0,191653000.0
57,2023-12-31,,75728.0,-324.0,,873336.0,3245317.0,4875657.0,-4875981.0,608288.0,-35393.0,-4911374.0,0.0,-4911374.0,-8.82,-8.82,556808.0,556808.0,75404.0,,
58,2023-12-31,,,,,,10512000.0,,,130791000.0,1272000.0,21945000.0,97000.0,,0.35,0.35,8416290.0,8566058.0,91131000.0,,
59,2023-12-31,,,,,,7244000.0,,,,,-38906000.0,-39000.0,-38867000.0,,,54281998.0,54281998.0,92926000.0,,
60,2023-12-31,31249000.0,3423000.0,,,98384000.0,32412000.0,,-97357000.0,,,-88848000.0,-367000.0,-88481000.0,-1.27,-1.27,69808855.0,69808855.0,,,
61,2023-12-31,,,,,46024000.0,21079000.0,67103000.0,-67103000.0,,,,,-60388000.0,-2.74,-2.74,22078190.0,22078190.0,,,
62,2023-03-31,,,,,9972000.0,7614000.0,,-52155000.0,,184000.0,-51971000.0,-9542000.0,-42429000.0,-0.95,-0.95,44612831.0,44612831.0,,,
63,2023-12-31,,,,,,,,,51867000.0,,851509000.0,185998000.0,,4.14,4.11,160870000.0,161847000.0,1153686000.0,212491000.0,
64,2023-12-31,125102000.0,52829000.0,72273000.0,,735000.0,43694000.0,,20936000.0,,46490000.0,67426000.0,-1504000.0,67060000.0,0.73,0.58,75296025.0,92411818.0,,,
65,2023-12-31,,,,,,,570911000.0,-89677000.0,1565000.0,,-74735000.0,526000.0,-75261000.0,-0.47,-0.47,159952813.0,159952813.0,481234000.0,166510000.0,
